name,category,review.point,price,description
"the glenlivet cellar collection, 1969 vintage, 50.8%",Single Malt Scotch,96,750,"it’s great that glenlivet releases whiskies under the 'cellar collection' label. it really shows the true potential of glenlivet. this bottling is classic ultra-matured glenlivet, and rivals the 1959 vintage cellar collection as the best one ever. an incredibly complex whisky, with notes of vanilla, ripe barley, coconut, and caramel. all this is accentuated by glazed orange, hazelnut, and a potpourri of dried spices. not the least bit tired for such an aged whisky. (only 800 bottles for the u.s.)"
"macallan 1976 vintage, 29 year old, cask #11354, 45.4%",Single Malt Scotch,96,1500,"classic sherry cask-aged macallan. antique amber with hints of ruby. thickly textured, complex, and quite deep, with notes of toffee, ripe pit fruit, raisin, apple pie, dried spice (cinnamon, clove, ginger, and mint), and a wisp of smoke. an exceptional, multi-faceted macallan! 
"
"the last drop (distilled at lochside) 1972 (cask 346), 44%",Grain Scotch Whisky,96,3108,"a remarkable beauty from the angus town of montrose. the elegant nose shows a dram at peace with itself; golden syrup, hay bales, ground hazelnut, liquid honey, french baguette, high mountain oolong, and rubbed spice blends. refreshing palate of honey, toffee, citrus, honeycomb wax, and a profusion of sweet vanilla. rich, sweet oak and deep pepper notes to finish. truly a sublime and venerable grain. (106 bottles) £2,400"
"compass box flaming heart (10th anniversary bottling), 48.9%",Blended Malt Scotch Whisky,95,105,"a marriage of three different single malts, aged in american and french oak. this whisky shows the advantage of marrying whiskies from more than one distillery (when properly done). vibrant, with a complex array of fruit (orchard fruit, sultana), sweetness (light toffee, marzipan, honeyed malt), spice (creamy vanilla, mocha, warming pepper), smoke (tar, smoked olive, coal), and lesser notes of toasted almond and beach pebbles. more smoke and tar on the palate than the nose, yet always in balance. well played! (editor's choice)"
"compass box the peat monster 10th anniversary special cask strength bottling, 54.7%",Blended Scotch Whisky,95,120,"as you’d expect, solid peat is the first thing out of the glass, but this isn’t just a peat beast. underneath are honey, dried fruit, and malt. the palate is all about balance, with honeyed malt, raisin, and oak spice all complementing smoky peat. a lush mouthfeel makes you forget it’s cask strength. a pure love note in a glass from compass box to park avenue liquor.  (park avenue liquor only)"
"johnnie walker blue anniversary, 60%",Blended Scotch Whisky,95,3500,"formulated to celebrate the 200th anniversary of johnnie walker. this is a fabulous whisky for anyone who can spring for the bottle. it is deep, dark, and quite powerful with a hefty malt foundation and sweeter notes of toffee and vanilla combined with resinous oak, complex fruit (both bright citrus notes and darker pit fruits), crisp mint, tobacco, polished leather, and heavy peat smoke. a tour de force of a blended scotch-as big as many single malts reviewed here. 
"
"chivas, 18 year old, 40%",Blended Scotch Whisky,95,70,"an essay in balance on both the aroma and palate. silky layers of delicate sweetness (honeyed vanilla, caramel, light toffee) permeate through clean, delicate fruit (citrus, peach, currant), and subtle, complex dried spice. clean finish, with a hint of dark chocolate. a very versatile, very drinkable blend which suits most moods and occasions. indeed, a benchmark blended scotch. 
"
"ardbeg, 1974 vintage, cask #3145, 49.9%",Single Malt Scotch,95,20000,"cask #3145 is the lighter in color, and the sweet notes that balance the smoke and seaweed are not as deeply caramelized as cask #3542. i’m tasting hints of shortbread and caramel, which show through the peat smoke, tobacco, toasted nuts, firm spice notes (cinnamon, clove, and mint), and lingering brine. very complex. 
price listed includes the entire double barrel 1974 vintage set."
"ardbeg uigeadail, 54.2%",Single Malt Scotch,95,70,"with the ardbeg 17 year old off the market, it’s nice to see a new ardbeg in the line-up. uigeadail costs about the same as the ardbeg 17 did but, with uigeadail, you’re getting a much more interesting whisky. uigeadail consists of a marriage of younger whisky (from 1990 and 1993) with much older whisky matured in sherry casks. the marriage works exceptionally well, with the younger whiskies providing the classic ardbeg intensity many of us have come to expect, while the older whiskies contribute depth, maturity, and complexity. and bottling the whisky at cask-strength without chill-filtration ensures that none of the flavors are stripped out. this is an incredibly complex islay whisky, with its bonfire smoke, brine, and peppered olive notes balanced by a taming sweetness of vanilla, marshmallow, and toffee. interwoven notes of candied fruit and sugared almonds round out the palate. incredibly long finish. 
"
"balvenie 1973 43 year old, 46.6%",Single Malt Scotch,95,"$15,000 or $60,000/set","this expression was matured in a european oak oloroso sherry butt. overtly sherried, with figs, sultanas, cinnamon, and old warm leather on the nose. finally, fragrant, with milk chocolate-coated turkish delight. the turkish delight carries over to the palate, before the chocolate darkens to plain, with raisins, smoked ham, and cloves in the long finish. remarkably, almost no tannic oak. textbook stuff."
"bowmore 50 year old (distilled 1961), 40.7%",Single Malt Scotch,95,26650,"the whisky is sensational, a glorious mix of ginseng syrup, baked banana, semi-dried tropical fruits, and an exotic smoked edge. without the last, you could believe it was a delicate cognac. in time, there’s peppermint and guava syrup. a sip is all you need to reveal perfect, thrilling harmony: light nuttiness, pollen, subtle fruits, gentle smoke, and light fungal touches. it’s stunning, but it’s £16,000! whisky this great, even in limited quantities, should be fairly priced. points off. £16,000"
"brora, 30 year old, 55.7%",Single Malt Scotch,95,400,"astonishingly fresh and clean for 30 years in oak, and with incredible depth. slight oily texture. appetizing brine, with honeyed vanilla, mustard seed, green olive, seville orange, and lemon zest. underlying smoke, damp peat, and seaweed. put simply, brora at its finest. 
"
"lombard 'jewels of scotland' (distilled at brora), 1982 vintage, 50%",Single Malt Scotch,95,200,"bottled in 2004, but just recently put in circulation here in the u.s. (very strange.) it’s worth the wait. it’s fresh (even at 22 years old), appetizing, spicy, and briny. there’s a sweet foundation of vanilla wafer and caramel, with a slightly oily texture. white pepper, seaweed, mustard seed, lime, gherkin, and teasing gin botanicals add complexity. spicy, salty finish. a vibrant, dynamic expression of the shuttered original clynelish distillery. quite stunning, actually. find yourself a bottle before they’re gone!"
"brora, 30 year old (2009 release), 53.2%",Single Malt Scotch,95,400,"this whisky has all the positive aspects of a very mature whisky (depth, complexity) without all the negative ones (excessive oak, one-dimensional). very clean, but oily in texture, with honeyed vanilla, caramel, citrus (tangerine, orange, lemon), nectarine, olive brine, black pepper, ginger, cut grass, mustard seed, and just the hint of teasing smoke. briny, spicy finish. wonderful!"
"brora 2010, 54.3%",Single Malt Scotch,95,455,"though brora has acquired cult status, it has to be said that for a few years these special release broras went through an off-putting butyric phase, which might well have put off newbies to this legendary closed site, who must have wondered what all the fuss was about.
one nose of the 2010 sr shows that these days have been consigned to the past. this is classy from the word go. gold in color; the nose manages to be both overtly waxy — i’m reminded of waxed paper — and fragrant. behind that is coal smoke, rather than the heavy peatiness of earlier vintages (brora’s peating levels varied in its last years). in other words, this is robust and powerful, with an evocative aroma that speaks of old sea chests, the seashore, and vellum. hugely concentrated, with massed fruits — quince especially — following behind. this is amplified with a drop or two of water. 
the palate is unctuous and heavy. tectonic plates move more quickly than this does in the mouth. when it does, the oily/waxy textures and flavors move slowly — camphor, peach, membrillo, hints of citrus, and toward the finish a growing brininess (akin to olives) and a hint of smoke. elemental and one of the best broras for years. [not available in the u.s.]£280  "
"brora 35 year old, 49.9%",Single Malt Scotch,95,750,"maturation of this 1978 distillate has taken place in european oak and refill american oak casks. fresh and fruity on the early, herbal nose; a hint of wax, plus brine, developing walnut fudge, and an underlying wisp of smoke. finally, wood resin. the palate is very fruity, with mixed spices, then plain chocolate, damp undergrowth, gentle peat smoke, and finally coal. mildly medicinal. ashy peat and aniseed linger in the long, slowly drying finish. brora at its very best. (2,944 bottles) editor's choice"
"glenfarclas 1968 vintage, 43% abv",Single Malt Scotch,95,200,"it has been quite a while since we’ve seen a new glenfarclas here in the u.s. but, after tasting this whisky, it was worth the wait. glenfarclas is a rich, stylish whisky that ages very well, and this 1968 vintage proves it. it is very deep and mature, with complex fruit (sultana, marmalade) layered by sweetness (honey, caramel, and toffee). all those years in oak contribute another dimension to the whisky, providing a dry, oaky spiciness, polished leather, and a hint of tobacco-especially on the finish. never does the whisky taste tired or excessively woody. it expresses all that is good about an older whisky, without any of the down side. i’m told that most of the 1,400 bottles imported to the u.s. went to the chicago area. it’s worth taking the extra time to track down a bottle. 
"
"glenfarclas, 40 year old, 46%",Single Malt Scotch,95,460,"glenfarclas has a proven track record for aging very well. i’ve enjoyed some amazing 25 and 30 year old expressions, in addition to some older vintage offerings. does this new 40 year old follow suit? absolutely! it’s complex and well-rounded, with great depth and no excessive oak. lush, candied citrus (especially orange), old pot still rum, maple syrup, fig, roasted nuts, and polished leather, with hints of mocha, candied ginger, and tobacco. a bit oily in texture (which i find soothing) with good tannic grip on the finish. a classic, well-matured glenfarclas — and a very good value for its age. (editor's choice)"
"glenglassaugh, 40 year old, 44.6%",Single Malt Scotch,95,2525,"an excellent example of an ultra-mature, sherried whisky done the right way. much darker and more decadent than the other two releases here. silky texture. rummy, jammy fruit, toasted walnut, leather, spice (cinnamon, clove), tobacco, and dark chocolate, with a foundation of juicy oak. tasting this whisky, you know it’s old, but you also know it’s very good. "
"the glenlivet cellar collection, 1973 vintage, 49%",Single Malt Scotch,95,1250,"a marriage of three casks, one of them an ex-sherry butt. the sherry is certainly evident, and this is more sherried than many of the cellar collection whiskies to date. opulent and seductive, with prominent fruit (glazed spiced oranges, ripe peach, and hints of pineapple and coconut), caramel-coated nuts, and vanilla custard. a peppering of ginger and cinnamon throughout. coating, soothing finish. polished and seamless, with no trace of excessive oak. one of the richest -- and finest -- cellar collections to date. anyone willing and able to cough up the bucks for this whisky will be richly rewarded. (only 240 bottles available in the u.s., beginning june 2010.)"
"highland park, cask #13308, 1973 vintage, 33 year old, 54.4%",Single Malt Scotch,95,280,"dark and decadent. notes of old pot still rum, roasted nuts, chocolate fudge, burnished leather, dundee cake, tobacco, and a hint of damp peat. when i drink this, i feel like i’m sitting in the study of a stately scottish mansion contemplating a fine, aged cuban cigar. royalty in a glass. (bottled for binny’s beverage depot) 
"
"laphroaig, 25 year old (2008 edition), 51.2%",Single Malt Scotch,95,500,"the flavors evolve on the nose and palate, with peat kiln smoke, fresh asphalt, damp earth warehouses, morning-after campfire ash, and old boat dock contrasting nicely with toffee apple, crème caramel, delicate raspberry preserve, and dried citrus. long, smoky, spicy, briny, seaweed, dirty martini-tinged finish. this whisky comes from a combination of both sherry and bourbon casks, and the marriage works. i also like that it retains some of its youthful brashness, while showing the depth that maturity affords a whisky. a delicious, well-balanced, old-fashioned laphroaig.(reviewing this whisky gave me an excuse to open a “fresh” bottle of its predecessor, the 30 year old, and here are my thoughts. the 30 year old is softer, mellower, drier, and more debonair. the 25 year old is bolder, more youthful, more dynamic, richer, and sweeter -- bottling at cask strength really helps here. both whiskies are very nice, but quite different in personality.)"
"the macallan estate reserve, 45.7%",Single Malt Scotch,95,215,"amber color. richly textured (great mouth feel), with vanilla fudge, nougat, ripe citrus, and ginger cake leading to a complex, spicy finish. great depth on this one. well-polished. my pick of the lot."
"dun bheagan (distilled at springbank), cask no. 1704, 35 year old, 1970 vintage, 50.5%",Single Malt Scotch,95,300,"quite fresh and appetizing for a 35 year old whisky, but not too surprising for a springbank. notes of creamy vanilla, burnt caramel, coconut custard, brine, and a hint of anise. complex, vibrant, and well-balanced. reminds me why i love those old springers. devotees will not be disappointed. a stunning whisky! (exclusive to astor wines and spirits.) 
"
"jewels of scotland (distilled at springbank), 1965 vintage, 46%",Single Malt Scotch,95,400,"bottled in 2001, but still in circulation and (fortunately) just finding its way to me. these springers from the ‘60s are getting rarer and quite expensive. this is a great example of why they are so coveted -- clean and well matured, with no sign of excessive oak. elegant sherried fruit dovetails nicely with polished oak and a steady stream of dried spices. look for citrus, nectarine, red licorice, coconut oil, ripe banana, and vanilla custard with warming cinnamon and brine. warm, spicy finish. very polished!"
"the last drop, 1960 vintage, 48 year old, 52%",Blended Scotch Whisky,95,2000,"a 12 year old blended whisky was created in 1972 consisting of 70 different malt whiskies and 12 grain whiskies.  the blend was then placed in three sherry casks, where it was matured for the next 36 years (highly irregular, to say the least).  the quality of the sherry casks is quite evident, as is the whisky's age.  there's substantial malt content here, too.  these three factors, along with the wide range of malt and grain whiskies, combine to create one of the finest blended scotch whiskies i have ever tasted.  it's dark, mysterious, and enormously complex, with notes of molasses, fig cake, dried fruit, tobacco, dark chocolate, old pot still rum, and polished leather, finishing with lingering cinnamon and mint.  there's no sign of this whisky getting tired at all.  i am pleased they bottled it at natural strength and didn't water it down to 40% or 43% abv, which could have ruined it.
(allocation information:  there's a total of 1.347 bottles, of which only 350 are being imported to the u.s.  they are available exclusively at binny's beverage depot (chicago), park avenue liquors (new york), and wally's (los angeles))."
"the last drop 50 year old, 50.9%",Blended Scotch Whisky,95,4000,"would you have gambled the last drop 1960 liquid in new sherry wood for four more years? the indulgent nose proffers maple syrup, buckwheat honey, roasted spices, blue grapes, pomegranate, raspberry compote, cilantro, pandan leaf, and beefsteak juices soaking into mushroom gills. the complex, lustrous mouthfeel is replete with a sheen of rich maltiness, molasses lashed by sherry before a dry, resinous finish. water brings an oily nuttiness, then further drops produce a silky, clingy texture. glorious. miraculous. victorious. (388 bottles only)"
"duncan taylor (distilled at invergordon), 40 year old, 1965 vintage, 49.7%",Grain Scotch Whisky,94,225,"a really stunning grain whisky. so rich for a grain whisky, with no excessive oak. lipsmacking notes of vanilla cream, coconut custard, ripe banana, sticky toffee pudding, rhum agricole, and delicate honeycomb. the flavors are clean, deep, nicely integrated and complex. single malt drinkers take note: this whisky will change your opinion of grain whisky forever! (a park avenue liquor exclusive.) 
"
"compass box the peat monster, 46%",Blended Malt Scotch Whisky,94,60,"the formula for this whisky has changed slightly since its inception -- and i think for the better. they've added some laphroaig into the mix of caol ila and ardmore. this whisky demonstrates the layered complexity that can be achieved by marrying whisky from different distilleries and different regions. i particularly enjoy the rich maltiness and oily texture that provide firm bedding and flavor contrast to the classic islay notes: tar, boat docks, brine, smoked olive, seaweed, and kiln ash. more subtle cracked peppercorn, mustard seed, and citrus fruit add complexity. long, warming finish. amazing how a small change in composition can significantly benefit the overall flavor profile of a whisky."
"compass box phenomenology, 46%",Blended Scotch Whisky,94,180,"the nose has honey, caramelized apples, pixy stix, pears in cream, faint pepper, ground coriander, and salty driftwood. it’s teeth-coating with golden syrup sugariness, the silky texture meting out pears, apples, sweet barley notes, and crunchy spices, before a vanilla phase gives way to black pepper, licorice, and smoke. mouth-numbing finish of long-active spices over vanilla. (7,908 bottles)"
"johnnie walker the casks edition, 55.8%",Blended Scotch Whisky,94,300,"you don't mess with the johnnie walker brand name casually, so we expect greatness, and boy, do we get it here. this has a dusty, smoky nose with dried apricot and grape, and the whisky is gossamer-soft on the palate, with sweet pear and honey evolving on top of an oaky rich heart before a tidal wave of pepper and peat, and a delightful spice smoke and oak conclusion. magnificent. "
"the john walker, 40%",Blended Scotch Whisky,94,3500,"the pinnacle of the current johnnie walker range, this is a rare, inimitable blend of just nine whiskies. it exudes the aromas of ripe bananitos, whole mango, satsuma, vanilla seeds, barley awns, butter biscuits, and crystallized pineapple. the supple grain sustains indulgent, characterful malts creating a weighty, smooth mouthfeel. i’m smitten by the vanilla creaminess, burgeoning deep fruit layers, how it swells with a satisfying snuffbox smokiness. a beautifully styled blend delivering a captivating, sensuous experience. (330 bottles only)"
"chivas regal 18 year old ultimate cask collection first fill french oak finish, 48%",Blended Scotch Whisky,94,120,"an auld alliance renewed, this gorgeous whisky packs spicy aromas of peppercorn, star anise, and cardamom seeds, mingling with toffee squares, plum jam, dunnage earth, and dried sprigs of heather. rich fruitcake, jellied fruit, and bramble, then spices course through the mouth: chili heat, black pepper, and raw ginger. final phase has chocolate praline, growing milky, nutty, and soothing. exceptional lengthy finish with reignited spices. chivas 18 goes electric. (travel retail exclusive)"
"aberfeldy 14 year old single cask, 58.1%",Single Malt Scotch,94,181,"single cask aberfeldy bottlings are very few and far between, and this is a stunner! after hogshead maturation the whisky ultimately underwent a period of finishing in an ex-sherry cask prior to bottling. the nose offers sultanas, raisins, and hot chocolate. developing vanilla and a hint of over-ripe bananas. finally, burnt sugar and caramel. insinuating and syrupy on the palate, with apricots, dried fruits, honey, and sherry. gently spicy and warming, with licorice in the notably long finish. £115"
"ardbeg, 1974 vintage, cask #3524, 49.9%",Single Malt Scotch,94,20000,"cask #3524 is darker, with notes of sticky toffee pudding and chewy caramel that firmly support the polished leather, cigar box, roasted chestnut, smoked seaweed, tar, dark chocolate, and, on the finish, espresso. a meditative whisky. 
price listed includes entire double barrel 1974 vintage set."
"the balvenie vintage cask, 1976 vintage, 53%",Single Malt Scotch,94,800,"very spicy and complex, with incredible depth. once again, this 30-plus year old whisky proves the aging ability of balvenie. still quite vibrant and invigorating for such maturity. the classic balvenie honey note is there, but more reserved, along with graham cracker, vanilla wafer, citrus peel, raspberry (red and black), nectarine, and polished oak. long, spicy finish. another outstanding balvenie vintage cask. although, i look at the price and remember how shocked i was when the balvenie vintages were selling for $400.
"
"balvenie tun 1401 batch no. 3, 50.3%",Single Malt Scotch,94,250,"a combination of three sherry butts and seven bourbon casks. this is a complex, dynamic whisky, loaded with lush, layered ripe fruit (red berries, tropical fruit, honeyed apricot, raisin), toffee, oak resin, polished leather, and well-defined spice notes (cinnamon, vanilla, nutmeg, clove). long, warming finish. (exclusive to the u.s.) "
"signatory (distilled at bowmore), 35 year old, 1970 vintage, 51.9%",Single Malt Scotch,94,500,"lush, thick fruit and chewy toffee soothes the assertive notes of earthy peat and leafy bonfire. underlying smoked nuts, brine, kalamata olives, and tobacco provide continued entertainment. a complex whisky that completely envelops the palate. this is an excellent example of a mature, sherried bowmore. 
"
"white bowmore, 1964 vintage, 43 year old, 42.8%",Single Malt Scotch,94,6000,"i like this bowmore better than all the previous bourbon oak-aged, ultra-mature bowmore whiskies that have been released over the past fifteen years (there have been several). the oak is always present, but not dominant. the whisky really evolves on the palate, just like the black bowmore releases. this emphasis here is on fruit, bright fruit: peach, tangerine, mango, ripe melon, and pineapple. there’s a soft, gentle side to the whisky, too, enhanced by sweeter notes of pancake syrup, orange creamsicle, and white chocolate. heavy oak notes emerge, along with teasing, earthy smoke, to give the whisky depth and bottom notes. the smoke and oak linger long on the finish. very contemplative. in short, an outstanding whisky, but not quite reaching the excellence of black bowmore. 
   (allocation information: 732 bottles available worldwide; 40 bottles are being allocated for the u.s., half of the quantity of black bowmore which was released earlier this year.)
"
"bowmore 1966 50 year old, 41.5%",Single Malt Scotch,94,"30,000","the third and most exclusive release in bowmore’s vault legends collection was matured for 50 years in bourbon hogshead #5675. the nose is fragrant and musky, slightly oily, with orange peel, developing vanilla, and green citrus notes. intense orange and peach on the palate, with black pepper, aniseed, and sweet oak. very persistent tangy citrus fruits through the extremely long finish. no negative tannic notes. (74 bottles)"
"brora 35 year old special release 2012, 48.1%",Single Malt Scotch,94,645,"previous broras in the diageo special release series have set the bar remarkably high, and this, the eleventh such bottling, does not disappoint. the component whiskies were distilled during 1976 and 1977 and matured in refill american oak casks. the nose offers lemon and contrasting vanilla and honeycomb aromas. musty malt and coal in the background. the citrus and honey themes continue into the slightly earthy, peppery palate, while french mustard and coal figure in the drying finish. 1,566 bottles."
"brora 40 year old single cask 1972 vintage, 59.1%",Single Malt Scotch,94,11824,"just 160 bottles of 1972 brora are available through uk world of whiskies and world duty free group stores. the oldest bottling of brora to date was distilled using heavily-peated malt. a big hit of oily peat on the early nose, with malt, dried fruit, and black pepper. mildly medicinal. the palate yields bonfire ash, licorice, honey, more pepper, and well-integrated oak. the finish is long, with peat smoke, plain chocolate, and tannins lingering in harmony. complex and rewarding. £7,000"
"brora 1978 35 year old (diageo special release 2014), 48.6%",Single Malt Scotch,94,1250,"this is the 13th annual release of brora, which has been aged in refill american oak and refill european oak casks. hessian and hemp on the early nose, with a whiff of ozone, discreet peat, and old tar. fragrant and fruity notes develop, with ripe apples, and a hint of honey. the palate is waxy, sweet, and spicy, with heather and ginger. mildly medicinal and smoky. dries steadily in the finish to aniseed, black pepper, dark chocolate, and fruity tannins. (2,964 bottles)"
"bruichladdich legacy 6, 34 year old, 41%",Single Malt Scotch,94,550,"the sixth and last bottling from the legacy series. legacy 6 is a marriage of six casks from 1965, 1970, and 1972. soft and mellow on the nose and palate, with unbelievably restrained oak for such a mature whisky. delicious notes of coconut, soothing vanilla, caramel custard, and banana cream, peppered with spice notes of cinnamon, mint, and teaberry that emerge on a soft finish that fades out gently. a fitting end to the legacy series. i’m sad to see them go. 
"
"bunnahabhain, 35 year old, 1971 vintage, 44.9%",Single Malt Scotch,94,700,"bottled to celebrate the 125th anniversary of the distillery. classic bunnahabhain-toffeed and quite nutty. almost rummy in nature, with rich molasses notes throughout and layers of sweetness. some salt emerges on occasion, as do notes of honey, coconut, and candied fruit, with a pleasingly dry, gently spicy finish to round everything out. surprisingly youthful for its age, nicely balanced, and very drinkable. a great bunnahabhain! 
"
"the dalmore stillman's dram 28 year old, 45%",Single Malt Scotch,94,140,"for the past several years, the stillman’s dram expression of the dalmore has been a 30 year old. this new 28 year old expression, besides being two years younger, is also slightly less sherried. in this instance, i feel that both have enhanced the whisky. trimming back on the sherry and oak allows the whisky’s trademark orange marmalade, complex spice, and briny freshness to shine through. this one is lively, dynamic, evolving, well-balanced, and always entertaining. the best dalmore stillman’s dram in years. 
"
"glendronach, 33 year old, 40%",Single Malt Scotch,94,400,"matured entirely in oloroso sherry butts, this whisky is chock-full of lush fruit, roasted nuts, deep spice notes, and a hint of damp smoke. it is wonderfully integrated, with incredible depth and maturity without being tired-and it expresses a soothing quality that doesn’t quit. it is stunning throughout and more polished and rounded than the 1968 vintage released a while back, which, while enjoyable, was a tad sappy and a bit too oaky at times. this whisky is easily one of the 10 best new whiskies for 2005, and worth every penny. get a bottle while you can. 
"
"glendronach grandeur, 31 year old, 45.8%",Single Malt Scotch,94,700,"the new ultra-mature release, following its 33 year old predecessor (bottled by previous owners). it’s nice to see the higher abv, given that the 33 year old was only 40%. very soothing. quite deep on the nose and viscous (almost sappy) on the palate, with gobs of juicy oak and old oak (its age is obvious but not imposing), dark raisin, black raspberry, orange marmalade, roasted nuts, and freshly roasted coffee beans. all of this is peppered with cinnamon, ginger, and charcoal. polished leather on the finish. i like that it’s sherried, and the sherry is kept in balance. those of you who liked the 33 year old will also enjoy this one (assuming you can afford it)."
"glenfarclas family casks 1987 cask #3829, 48%",Single Malt Scotch,94,387,"this is the bomb. savory and lightly meaty, but sweetened by plum sauce; there’s even some strawberry around the fringes. you could see how with another 30 years this would end up like the ’54. elegant yet powerful, there’s sandalwood incense, marmalade, even a little dried mango. the distillery’s density is balanced by this fruit. lush with supple tannins and at its best neat. from a refill butt, this is an exemplary sherried malt. £230"
"glengoyne, 40 year old, 45.9%",Single Malt Scotch,94,5730,"aged in sherry butts, which is a departure from some of the older glengoyne vintage samples i have which show more bourbon barrel characteristics. it is a very fruity, spicy, textural dram, with spiced apple, red raspberry, strawberry, plum, golden raisin, fried plantain, and creme brulee. good grip on the finish, with grape stems and warming spice (cinnamon, cracked peppercorn, and clove). i love the balance on this whisky. it has aged very gracefully. (limited to 250 bottles worldwide.)"
"glenmorangie astar 2017, 52.5%",Single Malt Scotch,94,100,"the first bottling of astar was released in 2008. the 2017 release was matured in casks made of oak from missouri’s ozark mountains. the nose is floral, with rosehips, orange blossom, and milk chocolate-coated turkish delight. honey and citrus notes follow. voluptuous on the palate; sweet, even sugary fresh fruit notes, plus vanilla, cinnamon, and cloves. drying from coconut to plain chocolate in the lengthy finish. extremely accomplished. (individual reviewer rating: 93)"
